Código IBGE;Município;Meso Região;Micro Região;Praça Pagamento
3145356;Novo Oriente de Minas;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
3145372;Novorizonte;Norte de Minas;Salinas;Salinas
314400315;Ocidente;Vale do Rio Doce;Aimorés;Mutum
3145406;Olaria;Zona da Mata;Juiz de Fora;Lima Duarte
315100810;Olegário Maciel;Sul/Sudoeste de Minas;Itajubá;Brazópolis
312120920;Olhos D'Água da Canastra;Sul/Sudoeste de Minas;Passos;Cássia
311783625;Olhos d'Água do Bom Jesus;Norte de Minas;Januária;Januária
313630620;Olhos d'Água do Oeste;Noroeste de Minas;Paracatu;João Pinheiro
3145455;Olhos-d'Água;Norte de Minas;Bocaiúva;Bocaiúva
3145604;Oliveira;Oeste de Minas;Oliveira;Oliveira
3145703;Oliveira Fortes;Zona da Mata;Juiz de Fora;Santos Dumont
316240120;Olímpio Campos;Norte de Minas;Montes Claros;São João da Ponte
3145505;Olímpio Noronha;Sul/Sudoeste de Minas;São Lourenço;Lambari
3145802;Onça de Pitangui;Metropolitana de Belo Horizonte;Pará de Minas;Pará de Minas
3145851;Oratórios;Zona da Mata;Ponte Nova;Ponte Nova
3145877;Orizânia;Zona da Mata;Muriaé;Divino
3145901;Ouro Branco;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Ouro Branco
3146008;Ouro Fino;Sul/Sudoeste de Minas;Poços de Caldas;Ouro Fino
311750428;Ouro Fino do Mato Dentro;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Conceição do Mato Dentro
3146107;Ouro Preto;Metropolitana de Belo Horizonte;Ouro Preto;Ouro Preto
3146206;Ouro Verde de Minas;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
315220414;Paciência;Norte de Minas;Janaúba;Porteirinha
310560815;Padre Brito;Campo das Vertentes;Barbacena;Barbacena
3146255;Padre Carvalho;Norte de Minas;Grão Mogol;Salinas
310250610;Padre Felisberto;Zona da Mata;Viçosa;Ponte Nova
314090210;Padre Fialho;Zona da Mata;Manhuaçu;Abre Campo
313250315;Padre João Afonso;Jequitinhonha;Capelinha;Itamarandiba
315350925;Padre Júlio Maria;Zona da Mata;Manhuaçu;Manhumirim
3146305;Padre Paraíso;Jequitinhonha;Araçuaí;Araçuaí
315570215;Padre Pinto;Metropolitana de Belo Horizonte;Itabira;Rio Piracicaba
314000140;Padre Viegas;Metropolitana de Belo Horizonte;Ouro Preto;Mariana
3146552;Pai Pedro;Norte de Minas;Janaúba;Porteirinha
3146404;Paineiras;Central Mineira;Três Marias;Abaeté
3146503;Pains;Oeste de Minas;Formiga;Arcos
315170110;Paiolinho;Sul/Sudoeste de Minas;Alfenas;Poço Fundo
3146602;Paiva;Zona da Mata;Juiz de Fora;Santos Dumont
3146701;Palma;Zona da Mata;Cataguases;Palma
310060915;Palmeira de Resplendor;Vale do Rio Doce;Peçanha;Capelinha
310840410;Palmeiral;Sul/Sudoeste de Minas;Poços de Caldas;Botelhos
313940913;Palmeiras do Manhuaçu;Zona da Mata;Manhuaçu;Manhuaçu
316555220;Palmeiras do Vale;Vale do Mucuri;Teófilo Otoni;Malacacheta
317040418;Palmeirinha;Noroeste de Minas;Unaí;Unaí
310945120;Palmital de Minas;Noroeste de Minas;Unaí;Unaí
311390920;Palmital do Cervo;Sul/Sudoeste de Minas;Varginha;Varginha
316620410;Palmital dos Carvalhos;Campo das Vertentes;Barbacena;Barbacena
3146750;Palmópolis;Jequitinhonha;Almenara;Almenara
313520933;Pandeiros;Norte de Minas;Januária;Januária
314330222;Panorâmica;Norte de Minas;Montes Claros;Montes Claros
3146909;Papagaios;Metropolitana de Belo Horizonte;Sete Lagoas;Pitangui
3147006;Paracatu;Noroeste de Minas;Paracatu;Paracatu
311020210;Paraguai;Zona da Mata;Viçosa;Viçosa
3147204;Paraguaçu;Sul/Sudoeste de Minas;Alfenas;Paraguaçu
3147303;Paraisópolis;Sul/Sudoeste de Minas;Itajubá;Paraisópolis
3147402;Paraopeba;Metropolitana de Belo Horizonte;Sete Lagoas;Paraopeba
315030720;Paraíso da Piedade;Campo das Vertentes;São João Del Rei;Barbacena
315940715;Paraíso Garcia;Zona da Mata;Juiz de Fora;Barbacena
310940215;Paredão de Minas;Norte de Minas;Pirapora;Pirapora
312980610;Parque Durval de Barros;Metropolitana de Belo Horizonte;Belo Horizonte;Ibirité
311860110;Parque Industrial;Metropolitana de Belo Horizonte;Belo Horizonte;Contagem
3147105;Pará de Minas;Metropolitana de Belo Horizonte;Pará de Minas;Pará de Minas
310780210;Passa Dez;Vale do Rio Doce;Caratinga;Caratinga
3147600;Passa Quatro;Sul/Sudoeste de Minas;São Lourenço;Passa Quatro
3147709;Passa Tempo;Oeste de Minas;Oliveira;Passa Tempo
3147808;Passa-Vinte;Sul/Sudoeste de Minas;Andrelândia;Aiuruoca
3147501;Passabém;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Itabira
314000145;Passagem de Mariana;Metropolitana de Belo Horizonte;Ouro Preto;Mariana
3147907;Passos;Sul/Sudoeste de Minas;Passos;Passos
3147956;Patis;Norte de Minas;Montes Claros;Patis
3148004;Patos de Minas;Triângulo Mineiro/Alto Paranaíba;Patos de Minas;Patos de Minas
315280815;Patrimônio;Triângulo Mineiro/Alto Paranaíba;Uberlândia;Prata
3148103;Patrocínio;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Patrocínio
311340424;Patrocínio de Caratinga;Vale do Rio Doce;Caratinga;Caratinga
3148202;Patrocínio do Muriaé;Zona da Mata;Muriaé;Eugenópolis
3148301;Paula Cândido;Zona da Mata;Viçosa;Viçosa
3148400;Paulistas;Vale do Rio Doce;Guanhães;Sabinópolis
3148509;Pavão;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
3148707;Pedra Azul;Jequitinhonha;Pedra Azul;Pedra Azul
3148756;Pedra Bonita;Zona da Mata;Manhuaçu;Abre Campo
314995215;Pedra Corrida;Vale do Rio Doce;Ipatinga;Governador Valadares
3148806;Pedra do Anta;Zona da Mata;Viçosa;Teixeiras
3148905;Pedra do Indaiá;Oeste de Minas;Formiga;Santo Antônio do Monte
311320615;Pedra do Sino;Campo das Vertentes;Barbacena;Carandaí
3149002;Pedra Dourada;Zona da Mata;Muriaé;Tombos
310170620;Pedra Grande;Jequitinhonha;Almenara;Almenara
315600710;Pedra Menina;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Rio Vermelho
3149101;Pedralva;Sul/Sudoeste de Minas;Santa Rita do Sapucaí;Pedralva
3149150;Pedras de Maria da Cruz;Norte de Minas;Januária;Januária
317040417;Pedras de Marilândia;Noroeste de Minas;Unaí;Unaí
3149200;Pedrinópolis;Triângulo Mineiro/Alto Paranaíba;Araxá;Perdizes
3149200;Pedrinópolis;Triângulo Mineiro/Alto Paranaíba;Araxá;Perdizes
3149309;Pedro Leopoldo;Metropolitana de Belo Horizonte;Belo Horizonte;Pedro Leopoldo
316710320;Pedro Lessa;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Serro
3149408;Pedro Teixeira;Zona da Mata;Juiz de Fora;Lima Duarte
316860620;Pedro Versiani;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
311000420;Penedia;Metropolitana de Belo Horizonte;Belo Horizonte;Caeté
313250320;Penha de França;Jequitinhonha;Capelinha;Itamarandiba
310110230;Penha do Capim;Vale do Rio Doce;Aimorés;Aimorés
312770135;Penha do Cassiano;Vale do Rio Doce;Governador Valadares;Governador Valadares
311840345;Penha do Norte;Vale do Rio Doce;Aimorés;Conselheiro Pena
311620910;Penha Longa;Zona da Mata;Juiz de Fora;Mar de Espanha
3149507;Pequeri;Zona da Mata;Juiz de Fora;Bicas
3149606;Pequi;Metropolitana de Belo Horizonte;Sete Lagoas;Pará de Minas
3149705;Perdigão;Oeste de Minas;Divinópolis;Nova Serrana
315980315;Perdilândia;Triângulo Mineiro/Alto Paranaíba;Ituiutaba;Santa Vitória
3149804;Perdizes;Triângulo Mineiro/Alto Paranaíba;Araxá;Perdizes
3149903;Perdões;Oeste de Minas;Campo Belo;Perdões
312140707;Pereirinhas;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Entre Rios de Minas
3149952;Periquito;Vale do Rio Doce;Ipatinga;Governador Valadares
310630910;Perpétuo Socorro;Vale do Rio Doce;Ipatinga;Açucena
